title,description,tags,last_update,publisher,contact_nam,contact_email,url,direct_url,license,comments,type,access,category
"Cursos Oferecidos: Por Nível de Ensino Superior, Modalidade de Ensino e Área de Conhecimento","Panorama geral dos cursos oferecidos pela Universidade, totalizados por nível de ensino superior, modalidade de ensino e área de conhecimento.",Acadêmico,diário,S-Integra,,,https://www.siarh.unicamp.br/indicadores/View.jsf?id=71450,,,,HTML,,Acadêmico
Cursos Oferecidos: Por Unidade/Órgão e Tipo de Oferecimento/Turno,"Panorama geral dos cursos oferecidos pela Universidade, totalizados por órgão/unidade, tipo de oferecimento do curso e turno.",Acadêmico,diário,S-Integra,,,https://www.siarh.unicamp.br/indicadores/View.jsf?id=89700,,,,HTML,,Acadêmico
Estrangeiros Evadidos em Cursos Regulares: Evolução Anual por Continente de Origem,"Total de alunos estrangeiros egressos de cursos regulares da Unicamp sem conclusão, agrupados por continente de origem e ano de egresso.",Acadêmico,diário,S-Integra,,,https://www.siarh.unicamp.br/indicadores/View.jsf?id=75127,,,,HTML,,Acadêmico
Estrangeiros Formados em Cursos Regulares: Evolução Anual por Continente de Origem,"Total de alunos estrangeiros formados em cursos regulares da Unicamp, agrupados por continente de origem e ano de conclusão.",Acadêmico,diário,S-Integra,,,https://www.siarh.unicamp.br/indicadores/View.jsf?id=75126,,,,HTML,,Acadêmico
Estrangeiros Matriculados em Cursos Regulares: Evolução Anual por Continente de Origem,"Total de alunos estrangeiros matriculados em cursos regulares da Unicamp, agrupados por continente de origem e ano de matrícula.",Acadêmico,diário,S-Integra,,,https://www.siarh.unicamp.br/indicadores/View.jsf?id=75125,,,,HTML,,Acadêmico
Evadidos de Cursos Regulares: Evolução Anual por Área de Conhecimento,"Total de alunos egressos de cursos regulares da Unicamp sem conclusão, agrupados por área de conhecimento e ano de egresso.",Acadêmico,diário,S-Integra,,,https://www.siarh.unicamp.br/indicadores/View.jsf?id=75119,,,,HTML,,Acadêmico
Evadidos de Cursos Regulares: Evolução Anual por Curso e Turno,"Total de alunos egressos de cursos regulares da Unicamp sem conclusão, agrupados por nível de ensino superior, modalidade de ensino, curso, turno e ano de egresso.",Acadêmico,diário,S-Integra,,,https://www.siarh.unicamp.br/indicadores/View.jsf?id=144255,,,,HTML,,Acadêmico
Evadidos de Cursos Regulares: Evolução Anual por Nível de Ensino Superior e Modalidade de Ensino,"Total de alunos egressos de cursos regulares da Unicamp sem conclusão, agrupados por nível de ensino superior, modalidade de ensino e ano de egresso.",Acadêmico,diário,S-Integra,,,https://www.siarh.unicamp.br/indicadores/View.jsf?id=75122,,,,HTML,,Acadêmico
"Evadidos de Cursos Regulares: Evolução Anual por Nível de Ensino Superior, Modalidade de Ensino e Motivo de Egresso","Total de alunos egressos de cursos regulares da Unicamp sem conclusão, agrupados por nível de ensino superior, modalidade de ensino, motivo de egresso e ano de egresso.",Acadêmico,diário,S-Integra,,,https://www.siarh.unicamp.br/indicadores/View.jsf?id=75123,,,,HTML,,Acadêmico
Evadidos de Cursos Regulares: Evolução Anual por Tipo de Oferecimento/Turno,"Total de alunos egressos de cursos regulares da Unicamp sem conclusão, agrupados por tipo de oferecimento do curso, turno e ano de egresso.",Acadêmico,diário,S-Integra,,,https://www.siarh.unicamp.br/indicadores/View.jsf?id=75124,,,,HTML,,Acadêmico
